rating,date,content,title
1,11-Nov-20,Worst this is the white box do not buy this one this is the first switch the red box is newer and cheaper if you get on Nintendo.com it is way cheaper than this junk the battery life is horrible on the white box but the red box has way more battery life,DO NOT BUY!
5,10-Nov-20,Love it,Play all the time
5,9-Nov-20,Love it!!! I use it everyday! It was delivered very quickly and in great working order!,Delivery time
4,7-Nov-20,Highly recommend great price for a great product! Wish I came with bigger memory card though. I would advise buying a bigger memory card.,Great product
5,5-Nov-20,Me gustó todo fue a tiempo y eficiente,Excelente
5,4-Nov-20,Likes : Easy to set up & use Fun for all ages depending on games Like that you can buy and download games Portable & tv hook up Love that you can buy multiple controllers and styles Almost like an adult Nintendo DS Battery life is amazing Easy to store and hide / small gaming council I’m not much of a gamer or into big gaming devices but I LOVE THIS dislikes : Nothing,Love my switch
5,2-Nov-20,Definitely love my switch. I think they’re pretty overpriced for what they are but an overall great system,Overall great system
5,2-Nov-20,Excelente Llego rápido,Excelente compra
3,28-Oct-20,"Expensive, did not include SDCard as advertised.",DID NOT INCLUDE 32 GB SDCARD
5,28-Oct-20,Very pleased with product. Is as described.,Excellent service.
1,26-Oct-20,Did not come with 32 GM memory card as advertised.,Lied About Memory Card
1,26-Oct-20,"First, I'm going to start by saying there are a ton of things to love about the Nintendo Switch. The problem I have has more to do with the service provided by Nintendo. A company is not only judged by what they can produce but how they stand behind their products. I had a game card that started failing shortly after 90 days and so I contacted the Nintendo technical support. I was told the repair would be $30 and an additional $10 in shipping. I was also told it would take 5 weeks time for the repair. Now this is where I need to be pretty blunt. Asking me to pay $40 to repair a game card when the original game was only $49.95 is an absolute rip off and not a sound investment. Furthermore, you don't repair these kinds of game cartridges. Inside the card is usually a single IC chip soldered to a board so the chip can be read by the card reader. Even Intel does not ""repair"" their CPUs or other IC chips so it is easy for me to say Nintendo does not either. If anything, the unit will be replaced, which does not take 5 weeks. At this point, what adds insult to injury is the same game is available on the Nintendo eShop for $59.95. The digital download version of the game does not suffer the same issues with losing your game due to faulty cartridges. The use of digital copies has been huge for movies, and many of them give it to you for free. Nintendo has you pay more and it is a separate purchase as if you did not have the game to begin with. My issue here is I do not have any mechanism to backup my games to protect them without using the same tools used by bootleggers. I should not have to resort to such a tactic and Nintendo should do more to support my investment. Taking this one step further, I have issue with the fact Nintendo does not put any warranty information on the outside packaging so a buyer can be aware before making the decision to purchase their products. Even on Amazon, you are linked to another page and then referred to the manufacturer with no direct link. As a game buyer, whether retail or online, products are not very readily available for inspection. In standard brick-and-mortar stores, you have to get a sales assistant to review the package. Online, you are limited to what the retailer has decided to make available. In any case, I should not find out the details when I am most in need. So if you are buying into this game console ecosystem, there is more to the decision than how exciting their games are because the service is nothing but exciting and are at best reluctant to stand behind their products. I have given this product a single star because my decision to purchase the Nintendo Switch has been met with nothing more than being on my own after spending a lot of money. Excited gamers means lots of sales. Gamers who feel they have been taken advantage of simply have options with other consoles. I think you can guess which category I'm in and I hope you think twice about the company behind this one.",Love Product but Not the Company
5,24-Oct-20,My son wants a switch for Xmas. I knew I had to get one before November and the holiday shopping rush. These things have been in short supply since the beginning of the year. I paid $80 more than I should have. I'm not happy about that. I'm sure it's a great system.  I just don't like paying ridiculous money for things.,I'm sure it's great. Paid 80 bucks over retail.
3,23-Oct-20,"So, the switch is just about perfect. Only problem: it doesn’t want to connect to any dock. I’ve tried repeatedly and done extensive research, but to no avail. Other than that issue, everything else is nice. The package came unsealed and looked like it had been opened before, which isn’t what I paid $400+ dollars for. But everything looked well enough that I let it go. If I was really desperate for the dock connectivity, this would have been a no-go, and it would have immediately went back. Luckily, I can live without out it. Just be weary of buying a switch on amazon. 7/10 it’s done right, but that other 3 you’ll get an switch that is a dud in one way or another.",Doesn’t connect to dock.
1,22-Oct-20,"they’re lucky i love my kids more than my money or else i wouldn’t support price-gougers, everything works fine though, but i also didn’t get the extra 32gb sd card as they promised","Price-Gouging, Didn’t Come With Promised SD Card"
5,22-Oct-20,😄,😊
5,21-Oct-20,"Bought this for my son. Loves it. Good battery life, able to play with several people.",Great value for the money spent.
5,21-Oct-20,It's really a good game for my little brother. But one tiny problem. Does it has to have a 32G SD card? When I open it it got everything but except the SD card. And I don't know if I should contact the owner and tell him. My parents or my brother doesn't know it but if they do. They will be mad.,I would like to no if it really comes with a SD card?
5,21-Oct-20,It's really a good game for my little brother. But one tiny problem. Does it has to have a 32G SD card? When I open it it got everything but except the SD card. And I don't know if I should contact the owner and tell him. My parents or my brother doesn't know it but if they do. They will be mad.,I would like to no if it really comes with a SD card?
4,21-Oct-20,"This is a real switch, It comes in the updated red box. The box included everything but the sd card. I recommend getting a sandisk or samsung card because the 32 gb of internal storage will not be enough.",Does Not come with a micro sd card
1,21-Oct-20,"This product was advertised as BRAND NEW, but the box was clearly opened. Pretty lame for something marked up as high as it is.",NOT in brand new condition
4,20-Oct-20,"Not only is this more expensive than MSRP, which is fair considering a shortage and the fact everyone wants one, but the main issue is that this is supposed to include a 32 gb memory card. It did not, and looking at other reviews, many people have had the same issue. Edit: update, the seller responded to my message, and said they would send the memory card. They were extremely apologetic, so it seems to have been an error of some sort. Will update review and rating again once I receive the memory card. Edit #2: Memory card was delivered, 32 gb micro that was the correct type. Updated to 4 stars, as while issues were corrected, there were still issues. Otherwise, everything works great and would recommend. Just make sure everything is in order when you receive your items.",Missing memory card
5,19-Oct-20,"Overall the product came in great, had it for about a month now and I still have no problems",Simple review
5,19-Oct-20,Standard switch,Great
5,18-Oct-20,Great to see retailers restocking them. Becoming more and more readily available. If you want one head on down and get your switch at a fair price. Switch is an awesome console for home and on the go.,Restock and availability is good again
5,13-Oct-20,bought for my sons 10th birthday. this was literally the only supplier whom did have it ... my son loves it. i also enjoy playing with him we're stuck on super smash bros. 😊,loved it
5,12-Oct-20,Actuallly was a great pirchase and in so glade i bought mine when i did. The prices have gone so far up. So great purchase i really recommend this buy. Received it fast and in perfect condition.,Greatest purchase ive order on here by far
4,11-Oct-20,"Battery life amazing, value for money will be playing for years. It’s perfect and I usually hate everything.",It’s exactly what I wanted and more.
3,9-Oct-20,"I was hesitant to purchase due to fear of it not being authentic but it was. It is version 2 & DID NOT come with a memory card, I believe it just means the BUILT-IN STORAGE. Everything looks brand new and is packaged well. Very pleased it came in 2 days, instead of a week as it was estimated with free shipping. Very pleased, but will be returning due to being way overpriced, and the Nintendo store is set to have more in stock soon.","Real Switch, 2 day shipping, Over Priced"
5,7-Oct-20,Great console for both on the go and stationary use. I can keep it plugged in with the dock to my tv or take it on the go without being too worried about battery life.,Great Console
5,7-Oct-20,Great nintendo system love it got it for the wife but the whole family loves it,Great system for all of the family
5,7-Oct-20,My grandson loves it,Fun
5,6-Oct-20,"Bought this for my son and the way he is enjoying it, I must say it is value for money!  Threaten to take it away from him and he gets on his best behavior.  Lol",definitely value for money!
3,6-Oct-20,Great product! My daughter loves it! However after 1 day of use it would not charge. We are exchanging and hopefully will be able to enjoy it once again. Great value if it will charge!!,Did not charge after 1st day
5,6-Oct-20,Mas costoso que en Best Buy pero buen juguete,Muy buen
1,6-Oct-20,Me dieron un mes de garantia y acaba de terminar la garantía hace. 2 s semanas y el Nintendo switch ya no sirve y ahora me dicen que la garantía ya termino page mas de 400 dolares,No trabaja ya el Nintendo switch y dicen que la garantía ya paso
5,5-Oct-20,I can't believe how technology has changed. But you wouldn't believe the sheer joy that this brought my son. It was worth every cent . No more tiny screen mobile devices.,Awesome gift to give you gamer geek.
2,5-Oct-20,not what i thought it would be for the money,review
5,4-Oct-20,"Your browser does not support HTML5 video. Exactly what I wanted, though overpriced. Has excellent battery life, came with all the accessories mentioned, and shipping was quick. This is a legit Nintendo Switch but priced to market value instead of actual value. My husband was very happy to receive this and has had no issues with the function of the device.",Real Nintendo Switch but Overpriced
5,3-Oct-20,"only disliked about the description was the extra memory card didn’t come with it. you’ll have to message the seller to ask them for a refund or to ship it back to you. but overall everything works prefect. i haven’t encounter any problem yet, hoping for none since i didn’t get any protection plan. i had it for almost a week now!",Amazingly satisfied!
4,1-Oct-20,"love it!! although it did not come with the sd card, i still love my switch. obviously its not usually priced at $400 but i get it, everybody wants one. i only gave it 4 stars because of the fact it didnt come with the sd card. but i still love it!!","didnt come with sd card, but still love it!"
1,1-Oct-20,"This is still overpriced at the time, where you can go look elsewhere on amazon and get the switch for 300 dollars like it’s supposed to be",Trash
1,1-Oct-20,Wasn't clear on what version. Box is for new I received old.,Incorrect description
3,30-Sep-20,Price is too high,"Good product, bad price"
5,28-Sep-20,"I chose to have some fun while at home, now that the kids are all grown and I have some time.  I chose Nintendo because it had a lot more non-violent/non-violent games than Ps4 - (love love Yonder, trying Zelda next). I bought the Switch.  It's FUN!  Super easy to hook up and get started. It's portable, it takes up very little space, it can be handheld like a tablet, it can be used for actual workouts!!, it can hook up to the tv and be multi-functional there too. It's easily adaptive to solo or multi-players in ways I have yet to explore. -  I am loving Yonder, will try Zelda next. Great fun!",Newbie gamer - bought a switch!  Perfect for this ol person!
4,27-Sep-20,The product came MUCH faster than expected by almost a week. Product came in perfect condition. No parts were damaged or non functional. I set everything up in a matter of minutes and everything is great so far. My only concern is that the product is INSANELY expensive. Should’ve at LEAST come with some accessories for this price point,Great product but overly pricy
4,26-Sep-20,"Ok yes the price is way more then it should be, but because I’ve been looking in stores for awhile and none has one this was the best option. It came with everything except the Micro SD card but some people did get one. I hooked it up to my tv and everything is working, my account linked and all I needed to do was redownload my games, but until I get another SD card I can’t play a lot of them. So yes there is a rick something goes wrong or doesn’t come with something. The shipping was amazing! Came in 4 days earlier and packaging was good. I haven’t tested the battery life yet on how long it lasts. So other then the SD card not included and the slight over price it was worth it! Especially since some switches on amazon cost more, this was the lowest I could find but it still went over $400 so be prepared!",All good but a couple problems
5,26-Sep-20,The granddaughters love it.,My granddaughters love it
5,24-Sep-20,Llego en perfecta condition.,Super comoda tamaño perfecto
3,23-Sep-20,Headline indicates it comes with a memory card but it did not.  That was one reason for paying an elevated price.,No memory card included - false headline
5,23-Sep-20,Many exclusive games and fun for kids and family.  Easy to mobilize and carry with you anywhere,Great Console
5,23-Sep-20,"No memory card, packaged nicely though and nintendo switch works. Was under the impression we got a 32gb memory card with it though",No 32gb memory card.
3,21-Sep-20,"Bought the Switch for Christmas 2017.  It's Sept. 2020 and I just purchased the third set of Joycon.  Bought the 2nd set of Joycon while I sent in the original Joycon in for repair.  Had to buy a third since both left Joycon drift , so we needed a third set.  Nintendo repair service is backed up, so buy  back up Joycon or just don't buy the system in the first place.  It's too bad it's a good system, the  Joycon are just poorly designed and made.",Joycon don't last!
4,21-Sep-20,"I got it for my fiance. She LOVES it. Sadly, I did pay $457 for it.  It works flawlessly, but the price is just outrageous. If you're really interested in getting one, go to your local Gamestop.  You can pick one up for $300 if they're in stock.","Solid product, but way overinflated price wise"
5,21-Sep-20,My son loves it has it since July nothing wrong yet,Nintendo
5,20-Sep-20,Yego completo y fue una buena inversión,Me gusta
3,19-Sep-20,"Everything about this is great accept the battery life and joycons. The joycons drift like crazy for no reason and the thing lasts a lousy 4 hours on full charge. And this is a handheld so it should last at least 8 hours. Also the dock scratches the screen. At this price there should be less of this. (I'm Mary's son, mary is her account name)",Great but bad for the price.
5,18-Sep-20,good system. Like the parental controls and online options.,Nintendo Switch
5,17-Sep-20,Grandkids loved it!,Great
5,17-Sep-20,It’s good but a little more pricy than need be. But still a good find,Expensive but nice
5,15-Sep-20,"Everything came perfectly packaged and in excellent condition. My daughter was super happy when she came home and found her package on her bed. She has had no complaints on how the product operates, and for that, I am very happy with my purchase. Thank you!",Just as advertised (:
5,14-Sep-20,Easy enough for my 7yr old to learn and use,Great
1,14-Sep-20,"It's a great game console, and worth having.  This seller is price gouging.  It's only $299 at Target.  Buyer beware!",Price gouging.
5,11-Sep-20,It was a little pricey. Overall a good console.,Good console but pricey
1,10-Sep-20,"People try to take advantage. Don't support this behavior, it's not worth paying more.",Negative review for ridiculous pricing
5,10-Sep-20,Very good definitely will be buying one for a friends birthday,Extremely satisfied
5,9-Sep-20,Gift,Gift
5,7-Sep-20,It works very well,A very good device
5,4-Sep-20,"Kids have loved this and it's kept my wife and I from going completely crazy during this lockdown,  the 3 of them even have learned to share equally",Sanity
2,3-Sep-20,I don't think people should have to pay more than retail for a product. Unless you are desperate to play a game on this system I would suggest patience and wait till they are back in a regular amount of stock. Of course I am not here to judge people who want to spend that kind of money I just personally don't think it is worth and going by the comments some of you seem to regret it. Nintendo just announced next year there will be an updated Switch which to me makes it even less worthwhile.,An updated Nintendo Switch comes out next year.
1,3-Sep-20,"I WAS going to buy one but the price is way to over priced. This is not even Nintendo selling these, a vendor is buy them all up and re-selling them at a horribly high cost. You would be wasting your money buying this even if Is money that you are getting from unemployment /stimulus Check. Please do better and look else where it’s not worth it",Do not buy this!!!
1,3-Sep-20,It's overpriced and a waste of money. DO NOT BUY WAIT TILL NEXT YEAR!,WAIT TILL NEXT YEAR!
3,2-Sep-20,"The consoles are great, however, the two I ordered didn’t come with the 32 GB memory card that is advertised that it comes with. You can get these same consoles at Walmart for almost $100 less too. Talk about a scam. Only reason I ordered here was to get the extra memory cards it said it came with but never got them. Save your money and go to Walmart.",Doesn’t come with everything advertised.
5,1-Sep-20,This was a gift and she sends extremely happy with it.,Special Gift
5,31-Aug-20,"OK. I'm in the military and I'm stationed overseas in the middle east so I saw the estimated delivery time of around 30 days... OK cool I understand its a far place from the U.S.A. but BABYYYYYY 7 WHOLE LIVING DAYS, I had my switch in my hands charged and ready to play. Who shipped this? Jesus? Was it on the main line? Like 7 WHOLE EARTH ROTATING days! I cant even get a text back but they can ship and deliver in 7 WHOLE SWEET BABY JESUS DAYS!?!?! ...... Is this a setup? ... I. AM. CONFUSION.",7 WHOLE DAYS...
5,31-Aug-20,We love it! Lots of fun. I prefer hooking it up to the TV because I like a bigger screen but its also great for long car rides. I recommend getting a glass screen protector for it.,Love it
5,29-Aug-20,I bought this item a month ago and it’s amazing. The product and packaging was perfect. The cost of this switch I would agree was overpriced. However; I am fully satisfied.,"OVERPRICED, but overall worth it!"
1,29-Aug-20,The Nintendo stopped working 3 weeks after we got it. It will not charge at all. Not only did it stop working but it was nearly 500 dollars not worth it.,Stopped working 3 weeks after
4,27-Aug-20,"As soon as I am able I will remove my former negative review. They responded promptly and apologized for the mishap, as well as assuring me the missing 32GB memory card will be shipped. I was very impressed by their willingness to correct the situation, and feel much better about my purchase.",Update to a former review
5,27-Aug-20,This has helped reduce my stress a lot.,Gotta love Nintendo
5,27-Aug-20,"This is probably one of the better values for the Switch out there, at least from what I've seen.  Haven't had any problems with it so far.  I haven't really taken it out of the dock yet (2020 is not the year for travel so I haven't really needed to), but it works great!",One of the better values out there
5,26-Aug-20,Console did not come with a memory card as advertised. Contacted the seller and informed a memory card would be shipped this week! Came a week early too!,"Fast shipping, and great customer service!"
1,25-Aug-20,Do not buy from this seller. Brought Nintendo switch and card reader stopped working after first time. I returned it now I’m fighting to get a refund!,Don’t do it!
5,24-Aug-20,Amazon delivered on time. No problem. Switch unit 2019 price was 299.00 this was twice the price with a SD card added to package. Over priced but hard to get so I paid the price. Happy with the unit. Happy over all.,A little over priced.
5,24-Aug-20,"Thank you seller, Direct Distributer! Everything was in perfect condition! There wasn't an SD card but I didn't really expect there one to be there anyways because of reviews. Package arrived like it said it would, Everything else was great!",Amazing !
5,22-Aug-20,Arrived faster than expected. Love it,Will have got buy a SD card since it’s only 32GB storage
5,22-Aug-20,"Arrived first day amazon said it would yo my delightful surprise. Perfect condition, looked like it has never been open. Works great no joy con drift so far either! A little expensive but tbh during corona this is one of the best prices out there. Well worth if ur willing to pay the extra money to get it during rona",Appears to be factory new!! Definitely satisfied
1,22-Aug-20,Price gouged and did not come with SD card as advertised...,Don’t get what you pay for
5,20-Aug-20,My grandchildren enjoy it and use it daily.,My Grandchildren love it and it’s family friendly sharing.
4,20-Aug-20,No problems works well got here earlier than i thought I have no complaints,No problems here
1,18-Aug-20,Disliked the fact that advertisement says it comes with memory card (that I did NOT recieve).,False advertisement
1,18-Aug-20,Waited for prices to come down a bit so I finally bought it. Finally arrived much later than advertised. And it did not come with a micro SD as advertised.,Micro SD was not included as advertised.
5,14-Aug-20,Really cool console. You can download all sorts of stuff for it and it has a really good battery life. Definitely buy a good memory card for all the games,Really cool console
1,14-Aug-20,The switch worked great but the dock for TV never did work right it was either flashing on or of with no sound or not working ended up having to buy another dock,dock part did not work right at all
5,11-Aug-20,It was a birthday present for my grandson,Cool
5,11-Aug-20,"Product as described, just overpaid.",Supply and demand at its best
5,10-Aug-20,Extremely happy!,Great product!
3,10-Aug-20,"Works perfectly, and noossues with it at all. My only complaint, is that it is way over priced. Wish i would have just went to gamestop.com and got it there instead.",Way over priced
4,9-Aug-20,did not come with an extra 32 sd card so false advertising.  Its against the law to false advertise.  Because only reason i bought this one was because extra sd card.  other wise would have ordered another one.  I paid and extra 15 dollars to get it.  I'm not to happy.  was a pleasant for adoption day and had games to download and not enough space for last game because no extra card.  false advertising is against the law so fix or send the sd card.,not as discriped
5,8-Aug-20,Good. Not a bot,Good
4,8-Aug-20,👍🏻,👍🏻
5,7-Aug-20,I play it every day,Something to do during  the lockdown
4,7-Aug-20,It was way over priced do to the pandemic!!! Other then it's a great product.,OVER PRICED
5,7-Aug-20,"My grandson loves this device, I think he's addicted.",Keeps my grandson very occupied.
5,7-Aug-20,Well the good news it that this looks to be the newer version. Bad news is that you pay $100+ over the regular price of 299.00 I did received the SD card which i saw lots of reviews saying they didn’t. You have to look for it since it is not just out there. They did slide it in the switch box. Over all it is what it is supply and demand. So far the switch box came previously opened and looked fairly new or refurbished? Will continue to use it and it will hopefully continue to go well,Supply and demand
5,5-Aug-20,"I am aware that everyone is complaining about the price due to being able to buy it for $299 in store, but obviously it's difficult to do that when it's in such high demand, and I can understand why! The battery lasts a long time and the graphics and gameplay is great. So far I have Overwatch, Animal Crossing, and Legend of Zelda: BOTW. I'm already obsessed, honestly. 10/10 would recommend.",Worth It
5,5-Aug-20,I received this product in a timely manner and it was just as the shipper promised,nintendo switch
5,4-Aug-20,Gane,Opinion
5,4-Aug-20,My son loves it,We love it thank u
5,3-Aug-20,Love this product!,LIFESAVER
5,3-Aug-20,"This was obviously overpriced compared to what we bought the first switch for at Target but, supply and demand. It arrived as stated and everything seems to be in working order. The constant bickering over whose turn it is has now stopped which has been worth every penny. The box arrived well packed.",Works great!
2,3-Aug-20,Way too expensive and it was missing memory card. The memory card would at least make up for some of the overpricing. Very misleading sale.,Overpriced and missing parts
5,2-Aug-20,I can't speak on this too much personally it was a present for my daughter but she has had every console that has come out in the last 20 years and she cannot stop raving about this. From our perspective it is fantastic,A present for my daughter. Great buy
5,2-Aug-20,My boyfriend wanted one of these soo bad so i finally decided to get it for him and let me tell you that it was the best decision i ever did we used to fight about the ps4 lol but not he plays fortnite with me from the nintendo it takes a long time before the battery dies out and everything is soo portable,Definetly Worth it
1,1-Aug-20,"I've owned Nintendo products my whole life. I was 2 when the NES released and had my first one when I was 6. I love Nintendo consoles and games. I love that I can leave my kids to play with them and not worry about inappropriate content. We bought our first switch just over a year ago. We loved everything about it from the mobility to the graphics. Mario kart became an instant family tradition. Unfortunately, the charging port went out, just after warranty. One thing we've come to love from Nintendo is the durability. I have an original NES that still works. We have a WII that's 15 years old and still going strong. To only get a year out of a $400 console is unacceptable.  I've been told that it likely can't be repaired, as the motherboard is so thin it doesn't accept new soldering without blowing through it. Now we are stuck with a $400 paper weight. Super disappointed.",Expected more
