rating,date,content,title
5,1-Aug-20,"The Nintendo Switch! You know it's good it's pretty expensive at the time but that doesn't matter. What matters is that this is Nintendo's best console for this generation and if you're stuck at home bored then play this. It has great games like Smash Ultimate, Breath of the Wild & Animal Crossing New Horizons you can even watch YouTube on here! Honestly Nintendo did an excellent job at making this console despite it being expensive right now. Definitely my 2nd favorite console and would pick this up. Although it is sold out at a lot of places look over here and if it's really desired or you just want a switch cuz well it's a switch would 100% recommend this.",It's a little expensive at the time but still great console
5,31-Jul-20,Nice,Super
5,30-Jul-20,Great company delivered at a good price,Grandson's enjoyment
5,30-Jul-20,Perfect original packaging brand new.,Arrived faster than expected
5,30-Jul-20,Works great! Silly price!,Great product we
5,29-Jul-20,Awesome game and fast delivery,Fast delivery
5,29-Jul-20,My son loves it,Luv it
1,29-Jul-20,Probably someone else's return.  Disappointing.,"unsealed box, didn't work"
5,29-Jul-20,This has been a bright spot during the pandemic for the whole family. Just awesome.,Reliving my childhood.
5,28-Jul-20,I got my Switch and the box and contents were in new condition. Everything turned on well and worked well. I saw others said they didn’t get their SD card so I wasn’t expecting it but to my surprise it was in the box. I definitely paid more then I would have wanted. But the product was in great condition and I don’t regret making the buy.,Good Condition
5,28-Jul-20,"Was delivered quickly and was exactly what we were looking for. Too bad the price is $130 more than what they originally sold for, but considering everyone wanted these during a pandemic, this was the best price I could find. I actually ordered one from another seller and they returned my money because they weren’t able to fulfill my order. I was very happy these guys were able to get the switch to me right away.","Great gaming console, brand new and fast delivery!"
5,28-Jul-20,"Works really well, and charges fast. Easy to set up for the most part. My only thing is that I feel like it's too expensive, but maybe that's just me.",Happy
5,27-Jul-20,Maravilloso,Muy bueno
1,25-Jul-20,Been waiting to find this and hurt to pay that much but I figured “hey it’s going to come with a 32 GB card and my kids are going to love it why not?” The switch came but there was no 32 GB card in the box! Really irritated by this and the customer service that amazon gave me.,Ridiculous!
1,25-Jul-20,Device arrived with a malfunction. VDI external port did not work. Return the device and was given less than $200 for what I paid for. No explanation as to why the reduction. First time I have run into this situation. I do not recommend purchasing from this vendor.,It a good experience with Vendor.
5,25-Jul-20,We were so happy to find this console as NEW! They were sold out everywhere and my daughters bday couldn’t wait. It came before promised and we have had it for about6 weeks. No issues so far!,Bday surprise
5,25-Jul-20,Works amazing,Basically new
3,24-Jul-20,I am happy I have a switch finally but hate that it costs $200+ more than they’re worth. One thing to add on is I didn’t get the additional memory card like I paid for but saw other people had gotten theirs???,Cost sucks...make sure you get everything you pay extra $$ for
5,24-Jul-20,I am really having fun with. Great game!,Switch
4,23-Jul-20,"My switch came just as expected. Brand new, perfect working condition, and is the newer model in the red box. My memory card was included. I’ve been hunting for one for months so I was willing to pay more at this point, but it’s a shame the way the prices are inflated. I’ve heard of people getting scammed on amazon with switch consoles but luckily this was not the case. If you’re willing to pay more, then this is a good company to order from.","Brand New, but overpriced."
5,23-Jul-20,Received the red box (v2),Good except for the price
5,23-Jul-20,Too easy worth it,🔥
5,22-Jul-20,"I love it! It was fast and easy to set up, the price was a bit high. It came with everything plus a SD card (I wasn’t sure if it was included or not), it’s light and easy to use. The only think I didn’t like but isn’t a problem for me was the peg that pops out the back is hard for me to use but I figured it out 😁.",I Love Mine!
5,22-Jul-20,It came quick and at a great price tbh. Most people are saying it is expensive but they need to understand that this product is having a shortage and may be discontinued. It has a high demand right now and I am glad I could find one. Sold out at all GameStop’s and other stores. It was my daughter’s birthday gift and she loved it. Some people are charging 500+. Thank you so much for having this product at a great price and not over abusing the market.,Great price and product!
5,22-Jul-20,it suck,it was bad
5,21-Jul-20,"Thought it died but was operator error. Great product, kid loves it.",My kid Loved it
4,19-Jul-20,Huge birthday success even if it was over priced.,Birthday
4,18-Jul-20,Great,H
5,18-Jul-20,It arrived way earlier than expected! Which means I don’t have games for it yet. But It was easy to set up and everything and I’m really looking forward to playing it!,Arrived quick!
1,18-Jul-20,nintendo switch is 300,don’t buy
5,18-Jul-20,Worked as expected and arrived a little early than expected.,Good
3,17-Jul-20,I really dont  have anything bad to say the only thing I would say is the price and never recieved the memory card. Otherwise my son loves it and works well.,Never recieved the memory card
4,17-Jul-20,I'm not going to comment on price. Is what it is. Supply and demand. I had 2 concerns 1)Was I actually going to receive the product and 2) was it a V2? Yes. I did receive it and it was a V2.,It is real
1,15-Jul-20,Did not come with memory card.,Did not come with memory card
5,15-Jul-20,"Very good experience, recommended",Very good experience
5,14-Jul-20,Great product. I'm a long time gamer and Nintendo lover and this console delivers. Speaking of delivery it was projected to arrive like a week+ later than I got it. I know that kinda thing varies but seeing that it was delivered yesterday was an incredibly pleasant surprise to wake up to.,Great Console. Surprisingly fast arrival.
1,14-Jul-20,I absolutely loved the price.....yeah no only if you make as much as mario collecting coins on a bonus level.... Really?!,Lol
4,14-Jul-20,"I know this is overpriced.  I was OK with paying it.  Here is my only complaint, it did not come with the memory card.  So, it is not as described.  I could have purchased this lesser edition for $417.00.  However, I wanted the 32 GB video game with memory card, so I paid extra.  This is the first time ever I did not get what I paid for on Amazon. I did my homework.  I read the reviews.  I did see that one other person did not get the memory card.  So I guess I am not the only one who was taken advantage of.",Not exactly as advertised- Memory card not included
1,14-Jul-20,"Poor Quality Product and untrustworthy. I received a faulty item, tried to resolve problem with patients and left out to dry. With a very high price to start with on product , I ended up with less than in the end. Buyer beware!",Poor Quality Product and Untrustworthy.
5,12-Jul-20,"Honestly, I’m in love. I haven’t really had a real current-gen console since college (about a decade). I bought an old Wii a few years back just for some party games (wasn’t a fan) and messed around with 3DS casually here and there but things changed when I got a Switch. It’s just absolutely brought me fully back into the gaming world. All of the Nintendo branded games are solid winners. Mario Odyssey was an amazing and fun game to test the waters with, Zelda BotW is the deepest and best game I’ve ever played, Astral Chain is awesome fun, Animal Crossing is causal and super relaxing, and there are SO many amazing ports from other consoles that it almost feels pointless getting any other system. If you want more serious/intense action RPGs Skyrim is massive, Assassin’s Creed is a blast, Dragon’s Dogma is an underrated classic, and there are endless other options. Also the best for multiplayer games - Super Smash, Mario Kart, Overcooked are some of my wife and I’s favorites. My friend lent me a PS4, and while the games are bigger and with better graphics, nothing really beats being able to play your game on the big screen then grab it and play it on the couch or on the go. So convenient, so good. Nintendo really nailed it on this one. Everything about it feels pretty perfectly designed. Battery life is about 4-5ish hours, just need to get a good sized micro-sd for digital games and you’re good to go. Seriously one of the best purchases I’ve made in a long time (Note - I bought my Switch a month before Covid hit so I got it for the standard price of about $300 - avoid the price gouged $400-500 price tags. You can find it cheaper elsewhere or just wait for the price to go back down)",Simply The BEST Console
5,11-Jul-20,"I normally don’t pay this much for entertainment purposes, but it came it amazing condition, came a week early and is really easy to set up. I recommend it.",It’s expensive but worth it
1,9-Jul-20,"False advertisement, was suppose to come with a 32GB MicroSD card. But nowhere to be found, very disappointed... would not recommend",WOULD NOT RECOMMEND
5,8-Jul-20,I hate the fact that the price was raised so much but 🤷🏻‍♀️. Product is great,Amazing
5,8-Jul-20,My daughter loves her switch it came in sooner than expected. 2 thumbs up.,Great timing
5,8-Jul-20,Overpriced but can’t find it any where else so sooo worth it! Love amazon!!,Worth it
5,7-Jul-20,Got it quick and it’s great,Awesome
5,7-Jul-20,Price was higher but we have been looking for months. We  finally caved after saving for awhile and paid the higher price tag. It was worth it. My fiance is happy. The Switch works perfectly. Thank you.,Supply and Demand. Great product just a higher tag.
5,6-Jul-20,"In the picture it shows the Nintendo switch, the left blue controller and the right red controller are the same height. It's showing a Nintendo switch but the launch version. After I purchase it I thought I bought the wrong one because when I checked back on the picture and it shows a picture of the older version. The newer version shows the right red controller sliding up a little bit. When the Nintendo switch arrived at my house I was happy to see that it was the correct one showing the right red controller sliding up. The Nintendo switch that shows the right red controller sliding up has an extra 23 hours of portable battery life. Definitely worth the $500. Even if it is an extra $200. You can't get mad at someone being smart enough to stock up to make a profit. at least it's not some of these people that are trying to sell them for $1000. I would suggest purchasing Super Mario Odyssey as a game to go with it. It also comes with a 32 gig micro SD card. The Nintendo switch only allows you to use certain micro SD cards. (32 gig micro SD HC is the one that comes with it) I normally would have probably bought the wrong memory card otherwise. My nephew is going to love it. Fun fact this is all because of a kid named Nate who created this thing called bird bot. Anytime as soon as a Nintendo switch was manufactured it would immediately be sold to whoever previously put their credit card info in using bird bot. Thanks Nate... #Nates_a_piece_of_shit_that_just_cost_me_an_extra_$200_but_I_ain't_mad_at_ya(2-Pac voice)",Don't wait till Christmas when it's a $1000 or sold out.
1,6-Jul-20,This is straight up price gouging. And the product could end up not working. If you don’t wanna pay an insane amount of extra money just wait.,Price gouging is horrible...
5,5-Jul-20,"Even though it is expensive than you can buy at the store, it is good item and has high quality.  If you can’t find this item at the store I recommend you buy from this seller.",Thank you so much.
5,5-Jul-20,Llego antes de tiempo,.
5,5-Jul-20,Nintendo,Nindento
1,5-Jul-20,Over priced,Price
5,3-Jul-20,Awesome product and super fast delivery.,A+ service
5,3-Jul-20,I bought this during the pandemic as a birthday gift for my 11 year old son. He wanted this game so much I paid more than double what it is worth but he was so happy he cried when we gave it to him. So for me it was worth it. It came new just as described. Came with memory card and works great. Thank u.,Worth it to me.
5,3-Jul-20,Shipped way faster then expected. Only took like 3 days. And it's the newer model that has a longer battery life FYI. I just played Animal Crossing on about 75% brightness for over 6 hours before the battery started getting critically low.,Shipped Fast!
1,2-Jul-20,"first off this was price gouged which is kinda understandable since Switches are in low supply right now but it was advertised as coming with an sd card and uh, mine didn’t come with an sd card. Also the box was pretty beat up and looked like it had been opened...",False advertising
1,30-Jun-20,Cost,Gauged
4,29-Jun-20,Great product even thought the price is doubled. Came in great condition,Awesome
1,29-Jun-20,Tried to purchase today for the 299 and every time it was clicked to add to cart it wouldn't let me... glitch in system made me not be able to get item needed. No one in Amazon help is able to help with the issue either. Tried via chat and phone.,Item gone/different price
5,28-Jun-20,Came as advertised and even though it did not say it would be in my hands in two days it was. No issues with the console or attachments.,Came as advertised
5,28-Jun-20,My daughter is so excited for this switch,Amazing and we'll worth the buy
5,27-Jun-20,I love this purchase so much. It came a little earlier which surprised me!,Purchase review
2,27-Jun-20,Price gouged so people who truly want one can get one at a cost. Arrived in great condition and as advertised.,price gouge
5,26-Jun-20,"For all the people upset about price, that is not a factor of the product. Reviews are about the product. This is the new Switch model with better battery life. Arrived as described new in box. Hated paying a premium but won't be thinking of that as I trade Pokemon with my kids and play Splatoon with them. Will update if anything changes.","New version, arrived quickly"
1,26-Jun-20,"No one should buy this under any circumstances, blatantly price gouging",Ridiculous and unethical
5,26-Jun-20,"Product was essentially brand new for the price of 500 total, post markups. Do with this information what you will.",Came in original packing
3,25-Jun-20,Getting a 3 star from me because of the outrageous price but it came in perfect condition and my kid loves it!!!,Price way too high!!!!!!
1,25-Jun-20,"Who’s paying $467 for a switch.  You are throwing your money away, do not buy this.",Robbery
1,24-Jun-20,Way too much for a switch!!!! I bought my og one for $300!!!,WAIT!!!!
5,23-Jun-20,"Aside from the price markup, all is good and it arrived as expected and everything seems complete. I was pleased that it was the (newer) red box Switch, and not the box pictured in the ad with the hand holding the grey box (older version). I got tired of checking Best But daily to only see everything sold out. My husband was happy and didn’t ask how much I paid!",New red box Switch!
5,23-Jun-20,Because of the current demand had to pay over the original sticker price but still really happy with it. Came fast with a bonus memory card and adapter(?) best purchase I made in awhile. :>,Loving it!
1,23-Jun-20,Everyone know the switch is only $300 right? I hope so,Price gouging
1,22-Jun-20,"Only an idiot would pay this price. Get real, losers. This is price gouging.",scam
1,22-Jun-20,Overpriced and 2017 version. Better to buy 2019 Version at retail price ($299).,Overpriced
5,21-Jun-20,good,perfect condition
5,21-Jun-20,My client purchased it and love it.,Switch
5,19-Jun-20,"$527.68 and yes in normal circumstances this switch would cost around $309 but evidently these are not normal circumstances. I see alot if people complaining about the price, but this is basic business practices 101, my mom is making mask and she had to raise the price because to many people were asking her to make them a custom mask lol, so either pay if you really want the product or don't. I was a little pissed but seeing my son's face when it was delivered made it all worth it😊",EXPENSIVE BUT WORTH IT💣💥🤙🏾
1,18-Jun-20,Price is too high lol...,Price
5,18-Jun-20,"Very happy to buy this Nintendo Switch from this seller ,2 Nintendo Switch very fast shipping everything as seller described. Thank you",Great product very fast shipping
5,17-Jun-20,The seller shipped super fast and it arrived 2 days. Loving this system! Seller service excellent!,Fast service.. great product
1,16-Jun-20,don't buy until it comes back down to the correct price,over priced
5,16-Jun-20,Great product! Came one day early too!,Perfect!!
1,16-Jun-20,My wife got me this for father's day. The system is cool and runs well but $500 is crazy yall out here scamming people big time.,Scam of the year
5,16-Jun-20,"Received the newer Nintendo Switch V2 new in all red box and everything was there as described and works great. Item was sent quickly, neatly and in great condition. Great seller, thanks so much!",This is the newer second version of Nintendo Switch
5,16-Jun-20,We got it a day early ! My son loved it. I don’t appreciate the price gouging but it’s worth it.,Worth the price
5,13-Jun-20,"Amazing, totally loving it",best product
5,13-Jun-20,"Came a little late. But it looks good. Haven’t turned it on yet. Came with 2 SD cards and a regular one and micro one for 32 g.  I believe that’s what your paying $178 extra for. Which is ridiculous, but it’s here. Will be a bday present for my son. They should of included a game for that price.","Overpriced, a game should have been in included for the price."
5,12-Jun-20,It was in perfect condition and I love it,Nintendo Switch
5,11-Jun-20,Came in a day eirly i no longer use my lite except for pokemon,Yee
1,11-Jun-20,PRICE GOUGING!!!!! A SWITCH DOES NOT COST AND IS NOT WORTH $477 THIS IS UNBELIEVABLE,Price gouged like mad
4,10-Jun-20,"Llego antes dd tiempo,hasta hora funciona perfectamente llevo 2 semanas con el despues veremos si le subo la 5 estrella",Buena calidad
5,9-Jun-20,Correct Description.,As Expected.
5,9-Jun-20,I bought this game for my 14 year old niece. She loved it! Thank you!,Great product
4,9-Jun-20,"Thank you Amazon for price gouging during this time of the pandemic. And thank you Nintendo for keeping supplies of the console limited to cause the price gouging. That being said, I broke down and purchased the console so I could enjoy playing with my kids/family. Everything arrived in a timely fashion and seems to work great.",Overpriced
1,9-Jun-20,The price is to over the real Price,Too much money
5,8-Jun-20,Came exactly as expected!! This was sold out everywhere and I have such a hard time convincing myself to buy such expensive things online...but I'm glad I did and so is my son! I know it made his day when it got here!,You can trust it...
1,6-Jun-20,Good thing this not an essential item or this would be price gouging!!!,Price gouging!!!
5,6-Jun-20,"Overpriced, however it was a gift for my daughter's birthday so I paid the exorbitant amount. For this pricing it should come with a game.","Great system, but overpriced"
1,6-Jun-20,People should be ashamed of themselves. This is price gouging,Price gouging
1,6-Jun-20,screen was cracked,screen was cracked
1,6-Jun-20,Stopped working the second day I bought it don’t buy!!!,Do not buy!!!
5,4-Jun-20,"Came before the estimated date, worth the price for convenience.",5 Star
1,3-Jun-20,prick,Price Gouging
1,3-Jun-20,Taking advantage of product shortage during pandemic.,$200 above retail price. Awful
1,3-Jun-20,This switch oldest versión (2017) please buy the 2019 versión is better,Un producto caro y engañoso
5,1-Jun-20,Came as advertised though I suspect it is very overpriced. I have heard there are major issues with these consoles being hoarded and resold this way. Shame.,Hated to support the seller. Platforms need to put a stop to this practice.
4,26-May-20,Bought this during lockdown fornthe Corona Virus. Overall it's worth every penny. The 32gb is great since I bought a lot of games for it and the screen protector was a nice bonus. Best way to kill all the down time.,😷 Corona Lockdown Gear ⚙
2,20-May-20,"The product seems fine, it went to a group home for Autistic Young Adults to try to keep them busy during Covid-19. It has helped my son at his group home, I just dislike that someone would double the price on anything online during this time. The sellers right to do it, it was good to know it helped them, just didn’t like having to support someone that does that.",I disliked buying this product from seller because it was double the price!
4,7-May-20,"Price is higher than retail, agreed, if you want it now, great seller at a price point for today’s environment. Hated to spend the addition $$, however, they have the product and it was delivered as advertised. Thought about going with the light which Best Buy may have had  delivered on June first. Not a good choice for us.",Product as described
1,3-May-20,Overpriced and looks like fake reviews on May1st,Overpriced resellers
5,3-May-20,Thank you for your quick service! My daughter loved her birthday present!,Best gift this year
1,3-May-20,This product is way too expensive and shouldn't have the price raised 200 dollars because everyone wants it.,Price is top high
1,2-May-20,The switch is normally $299,Price Gouging
5,1-May-20,Easy set up 😍 my niece loves it,Awesome
5,1-May-20,Love the new Nintendo switch came quick with no damage and runs great,Nintendo Switch
5,1-May-20,Probably a bad idea to get a Switch and Animal Crossing during final exams. I never want to put it down!,"Shipped fast, already having fun!"
5,29-Apr-20,Shipping was fast and the product was received in flawless condition. Works perfectly and my family loves it!,Awesome product
5,26-Apr-20,My daughter loved,Faster delivery
5,25-Apr-20,Great Buy! Came packaged securely and worked/looked perfect.,Great buy
5,25-Apr-20,It arrived way before the date. My children haven’t put it down since we got it!,Quick and easy
1,9-Apr-20,The Nintendo is cool and all but I got price gouged hard on it. I promised my kid one for Quarantine. Apparently people have been buying them out to resell on ebay and Amazon. I am one of those victims.,I got price gouged
1,3-Apr-20,"I like the Switch Console and even with its quirks, at $299 it's fairly priced and hopefully will be again when the demand goes down.  It's nowhere nearly as powerful as what Playstation and Xbox offer but it's so much more flexible that it can get away with a $300 price tag.  $450 though?  No, not worth it at all.",Good Console at $299.  Junk at This Price Gouge
1,16-Mar-20,"man, every time the switch goes back in stock its up for like, five seconds and then goes out of stock again :) i’ve been trying to get one for the past three days and its impossible! every time i get close to ordering it, the page redirects me and tells me the item is no longer in stock. sucks but at this rate i would rather buy a regular switch than pay the bloated scalper price. which is a shame but what can you do.",keeps getting sold out
1,15-Mar-20,Mass buying and reselling at high prices should be frowned upon,Reselling at higher prices
1,15-Mar-20,The price is disgusting!,Gross
5,14-Mar-20,"Please whatever you do, don’t pay their ridiculous 200+ price for the same exact (NOTHING DIFFERENT) product only because they had money lying around for this exact reason. It’s sad and pathetic seeing scalpers buy things in bulk just to resell at a ridiculous product just because they have more money to spend than everyone else. It’s toxic and should be illegal. I managed to buy mine at Best Buy for my girlfriend and it’s exactly what an animal crossing fan would love, aside from not including the game, which isn’t too bad because then you can decide if you want it physical for the cover art or digital without having to worry of loosing the game. I know we all want to have one right now or at least when we get animal crossing so that it feels more special when playing it but if you can wait, then wait. Voice your concerns to Nintendo and Amazon",AVOID SCALPERS
1,14-Mar-20,Way overpriced. Joycons are flimsy. Standard Switch is $300 and yet it can only be bought for $500. Nintendo get your act together.,Dont waste your money
5,5-Feb-20,❤️,❤️
5,2-Jan-20,Great system!,Great system!!
5,10-Nov-19,My son loves his switch!,The Switch is very diverse and travel friendly!
5,11-Oct-19,I love it,Amazing
1,7-Sep-19,"Wow how disappointing dont buy this until they get this improved, older version of this is better in my opinion. The newer version gave me 8+ crashes of system and game crashes leading up to finally unable to play this system having to return this system ,what a horrible experience this was. Being a big Nintendo switch player what a great disappointment this was. Hopefully they improve this newer version system to where this does not happen again or to someone else.",Disappointing
5,6-Sep-19,"This is my review of the 'V2' (2019) version of the Nintendo Switch (model #HAC-001(-01)). So a little background, I was a enthusiastic PC gamer in college who built my own PCs for the purpose and am now - due to the demands of adulthood - someone who only plays the occasional game. My last handheld Nintendo console was the black and white Game Boy Pocket in the early 90's, so I've been away from the platform ---- a while. I bought the Switch purely because I learned they had ported Skyrim to it, and as a huge fan of the Elder Scrolls genre I was hoping to devote some of my train commute to questing around Tamriel. In this sense, the Switch does not disappoint. I am not a graphics connoisseur, but - compared to the PC version - Skryim plays really well on the Switch. No perceptible lag, colors are crisp. Yes, it's missing the expansions and yes, the text can be a little small, but that's a fair trade-off for the portability this platform brings. So far, I only own 2 games - Skyrim and MarioKart 8 (another throwback to my college dorm days on the N64), and I love playing both on the Switch, MaroKart is obviously the newer game and so the graphics and gameplay are much better but I'm a still a sucker for Skyrim (at least until the next ES is released, hopefully in my lifetime). Anyway, all this to say the Nintendo Switch is a great console for busy adults who want to reminisce about the fun they had 10, 20, or even 30 years ago. The Switch doesn't take itself too seriously (which I love) but that means it might not be the right choice for people concerned with the perfect graphic or gameplay experience - there are dedicated consoles that do this much better. What the Switch does is make gaming on the go effortless, fun for the average busy person and something you can really enjoy with your whole family - which I think was Nintendo's real goal here all along.",Love the Switch - A Casual Gamer's Best Console
2,23-Aug-19,"Everything about the physical device, i feel like is pretty well made. Good set up, some minor future issues that are mitigated by screen protectors and similar. Several easy to work with ways to play it, kinda fun in its novelties on its build. My issue? 1) games are ridiculously expensive. So many are over priced. 2) Online play required by Nintendo for a not good service is poor. Especially for things like minecraft. 3) Where are any older games. The games that Nintendo has no need to keep out of the store. The old pokemon, Zelda games, or any games really. Like, great you are putting witcher 3 on there...But not Orignal Zelda and Ocherina of time? Physical? Great! Nintendo online and games? Bad. 1 or 2 games does not make the switch worth buying. PC has better prices, easier to work with, and you can play almost any game out there.",The device is great. The everything else is not.